Filtering the log data using "process == "GestioneViaggi""
Timestamp                       (process)[PID]    
2025-12-23 19:06:03.531941+0200  localhost GestioneViaggi[25402]: (CoreFoundation) Created Activity ID: 0x2b16aa6, Description: Loading Preferences From User CFPrefsD
2025-12-23 19:06:03.540162+0200  localhost GestioneViaggi[25402]: (CoreFoundation) Created Activity ID: 0x2b16aa7, Description: Loading Preferences From User CFPrefsD
2025-12-23 19:06:03.540348+0200  localhost GestioneViaggi[25402]: (CoreFoundation) Created Activity ID: 0x2b16aa8, Description: Loading Preferences From User CFPrefsD
2025-12-23 19:06:03.545587+0200  localhost GestioneViaggi[25402]: (libsystem_info.dylib) Created Activity ID: 0x2b16aa9, Description: Membership API: translate identifier
2025-12-23 19:06:03.547430+0200  localhost GestioneViaggi[25402]: (RunningBoardServices) Created Activity ID: 0x2b16aaa, Description: didChangeInheritances
2025-12-23 19:06:03.552979+0200  localhost GestioneViaggi[25402]: (libxpc.dylib) [com.apple.xpc:connection] [0xb44cf3340] activating connection: mach=true listener=false peer=false name=com.apple.dock.fullscreen
2025-12-23 19:06:03.576274+0200  localhost GestioneViaggi[25402]: (libxpc.dylib) [com.apple.xpc:connection] [0xb44cf3480] activating connection: mach=true listener=false peer=false name=com.apple.fonts
2025-12-23 19:06:03.583053+0200  localhost GestioneViaggi[25402]: (libxpc.dylib) [com.apple.xpc:connection] [0xb44cf35c0] activating connection: mach=true listener=false peer=false name=com.apple.appkit.restoration_storage
2025-12-23 19:06:03.583303+0200  localhost GestioneViaggi[25402]: (libxpc.dylib) [com.apple.xpc:connection] [0xb44cf3700] activating connection: mach=true listener=false peer=false name=com.apple.coreservices.appleevents
2025-12-23 19:06:03.583611+0200  localhost GestioneViaggi[25402]: (libxpc.dylib) [com.apple.xpc:connection] [0xb44cf0640] Connection returned listener port: 0x4a03
2025-12-23 19:06:03.583776+0200  localhost GestioneViaggi[25402]: (HIServices) [com.apple.processmanager:front-35286506] SignalReady: pid=25402 asn=0x0-0x217016e
2025-12-23 19:06:03.583952+0200  localhost GestioneViaggi[25402]: (LaunchServices) [com.apple.processmanager:front-35286506] SIGNAL: pid=25402 asn=0x0x-0x217016e
2025-12-23 19:06:03.599831+0200  localhost GestioneViaggi[25402]: (UIKitCore) [com.apple.UIKit:UpdateScheduler] Selected display: name=Display (DisplayDevice), id=1
2025-12-23 19:06:03.600075+0200  localhost GestioneViaggi[25402]: (AppKit) [com.apple.AppKit:AutomaticTermination] void _NSDisableAutomaticTerminationAndLog(NSString *) Restoring windows
2025-12-23 19:06:03.600281+0200  localhost GestioneViaggi[25402]: (AppKit) [com.apple.AppKit:StateRestoration] -[NSApplication _reopenWindowsAsNecessaryIncludingRestorableState:withFullFidelity:completionHandler:] shouldRestoreState=1 hasPersistentStateToRestore=1 shouldStillRestoreStateAfterPrompting=1
2025-12-23 19:06:03.600986+0200  localhost GestioneViaggi[25402]: (AppKit) [com.apple.AppKit:StateRestoration] -[NSApplication(NSPersistentUIRestorationSupport) _restoreWindowWithRestoration:completionHandler:] restoration=<NSPersistentUIWindowRestoration: 0xb45b3bac0> savedIdentifier=SceneWindow
2025-12-23 19:06:03.601072+0200  localhost GestioneViaggi[25402]: (AppKit) [com.apple.AppKit:StateRestoration] -[NSApplication(NSWindowRestoration) restoreWindowWithIdentifier:state:completionHandler:] identifier=SceneWindow className=UINSApplicationDelegate
2025-12-23 19:06:03.601082+0200  localhost GestioneViaggi[25402]: (AppKit) [com.apple.AppKit:StateRestoration] -[NSApplication(NSWindowRestoration) restoreWindowWithIdentifier:state:completionHandler:] restorerIsValid=YES restorer=UINSApplicationDelegate
2025-12-23 19:06:03.601120+0200  localhost GestioneViaggi[25402]: (UIKitMacHelper) [com.apple.UIKit.MacHelper:Lifecycle] Suspending launch completion for TAL restoration with persistentID: E830E45D-6A0A-4D16-AAB0-5F59F4C04AAE _launchSuspensionCount=1->2
2025-12-23 19:06:03.601126+0200  localhost GestioneViaggi[25402]: (UIKitMacHelper) [com.apple.UIKit.MacHelper:Lifecycle] _suspendLaunchCompletion count=2 (macOS)
2025-12-23 19:06:03.601151+0200  localhost GestioneViaggi[25402]: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension FBSSceneClientSettingsCore on FBSSceneClientSettings
2025-12-23 19:06:03.601386+0200  localhost GestioneViaggi[25402]: (UIKitMacHelper) [com.apple.UIKit.MacHelper:Lifecycle] @ isLaunchedToBackground (state: Running)
